steps,x,y,roll,distance_to_obj,laser
0,1.008099913597107,1.0000391006469727,-0.00974887702614069,8.061218280916561,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8987618088722229, 0.8500781059265137]"
1,1.016198992729187,1.0001583099365234,-0.019597694277763367,8.06010741169029,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9133416414260864, 0.8508303761482239]"
2,1.0242966413497925,1.0003547668457031,-0.02884529158473015,8.058928024272804,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9105967879295349, 0.8507435321807861]"
3,1.0323920249938965,1.000626564025879,-0.038203928619623184,8.057682083667972,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9079873561859131, 0.8508091568946838]"
4,1.0404845476150513,1.0009746551513672,-0.047662317752838135,8.056368683898242,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9443841576576233, 0.8530536890029907]"
5,1.0485737323760986,1.0013923645019531,-0.055605448782444,8.05499447854388,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9412824511528015, 0.8529444932937622]"
6,1.0566593408584595,1.0018749237060547,-0.06367449462413788,8.053564200727006,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9383008480072021, 0.8529771566390991]"
7,1.064740777015686,1.0024232864379883,-0.07185917347669601,8.052076943465368,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9354414939880371, 0.8566768765449524]"
8,1.0728174448013306,1.003037452697754,-0.08001089841127396,8.050532744708239,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9327058792114258, 0.8565224409103394]"
9,1.0808887481689453,1.003718376159668,-0.0882759541273117,8.048930693018113,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9510467648506165, 0.8565115928649902]"
10,1.0889544486999512,1.0044631958007812,-0.09582222998142242,8.047273624268524,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9481911659240723, 0.8616490960121155]"
11,1.097014307975769,1.0052680969238281,-0.10327902436256409,8.045565322714397,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9454531669616699, 0.8614465594291687]"
12,1.1050679683685303,1.006134033203125,-0.11085112392902374,8.043804848226577,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9428347945213318, 0.8613815903663635]"
13,1.1131147146224976,1.0070610046386719,-0.11852844804525375,8.041992246513727,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9403374195098877, 0.8679238557815552]"
14,1.1211541891098022,1.0080490112304688,-0.12604716420173645,8.040127521763168,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9592483639717102, 0.8676692843437195]"
15,1.1291863918304443,1.00909423828125,-0.1328343003988266,8.03821443063341,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9566230177879333, 0.8675479888916016]"
16,1.1372113227844238,1.0101947784423828,-0.13972914218902588,8.036254835429297,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9767850637435913, 0.8754632472991943]"
17,1.1452291011810303,1.0113458633422852,-0.14552298188209534,8.034253431688983,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9740297794342041, 0.8751407861709595]"
18,1.1532399654388428,1.0125436782836914,-0.15143750607967377,8.032213956777785,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9953656196594238, 0.8749404549598694]"
19,1.1612441539764404,1.0137863159179688,-0.1565232276916504,8.03013825391928,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9924765825271606, 0.874860405921936]"
20,1.1692417860031128,1.0150699615478516,-0.16172538697719574,8.028030077740038,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9896843433380127, 0.8837534785270691]"
21,1.1772328615188599,1.0163936614990234,-0.16668830811977386,8.02589035137644,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9869890809059143, 0.8834518790245056]"
22,1.1852171421051025,1.0177574157714844,-0.17176875472068787,8.023719074032348,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88326495885849]"
23,1.1931947469711304,1.019160270690918,-0.1763463169336319,8.021517157074044,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8831920027732849]"
24,1.201165795326233,1.020599365234375,-0.18092674016952515,8.01928741077752,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8930167555809021]"
25,1.2091305255889893,1.022073745727539,-0.18512190878391266,8.017030737384319,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8927174210548401]"
26,1.2170889377593994,1.0235815048217773,-0.18932881951332092,8.014749013013441,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8925254940986633]"
27,1.2250409126281738,1.0251226425170898,-0.19354325532913208,8.012442227810057,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8924410343170166]"
28,1.232986330986023,1.0266971588134766,-0.19776099920272827,8.010110371632052,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9031575322151184]"
29,1.2409254312515259,1.028304100036621,-0.20155851542949677,8.007754349529812,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9028460383415222]"
30,1.2488583326339722,1.0299406051635742,-0.2053682506084442,8.005376978111261,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9026373028755188]"
31,1.2567849159240723,1.0316076278686523,-0.20918616652488708,8.002977299570395,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9025324583053589]"
32,1.2647050619125366,1.0333051681518555,-0.21300819516181946,8.000555305088078,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9025313854217529]"
33,1.2726186513900757,1.0350322723388672,-0.2168302685022354,7.99811193526253,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9026333689689636]"
34,1.2805256843566895,1.036789894104004,-0.22064833343029022,7.995646220382349,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9135457873344421]"
35,1.2884262800216675,1.0385761260986328,-0.2240384966135025,7.993160029605966,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9134175777435303]"
36,1.2963207960128784,1.040389060974121,-0.2274336814880371,7.9906552123580195,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9133884906768799]"
37,1.3042091131210327,1.0422286987304688,-0.23082999885082245,7.988131761655712,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9134587049484253]"
38,1.3120911121368408,1.0440950393676758,-0.23422357439994812,7.985589670188117,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9136281609535217]"
39,1.3199667930603027,1.0459880828857422,-0.23761050403118134,7.98302892016159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9138967394828796]"
40,1.3278359174728394,1.047907829284668,-0.2409868985414505,7.980449513993035,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.924984335899353]"
41,1.3356989622116089,1.0498523712158203,-0.24392850697040558,7.977853294481508,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378646016120911]"
42,1.3435567617416382,1.0518178939819336,-0.2463650405406952,7.975243978429808,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375709891319275]"
43,1.3514097929000854,1.053802490234375,-0.24881309270858765,7.972623415222327,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9373669028282166]"
44,1.3592579364776611,1.055807113647461,-0.25126913189888,7.96999065291429,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9372534155845642]"
