steps,x,y,roll,distance_to_obj,lidar
0,1.0085469484329224,1.0,-1.9443648113792733e-07,8.061202091094211,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985797166824341, 0.8500433564186096]"
1,1.0170938968658447,1.0,-3.8887296227585466e-07,8.060155358774319,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8958439826965332, 0.850172221660614]"
2,1.025640845298767,1.0,-5.833094292029273e-07,8.059117554816414,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8931816816329956, 0.8503493070602417]"
3,1.0341877937316895,1.0,-7.777459245517093e-07,8.058088682670157,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9067733883857727, 0.8501474261283875]"
4,1.0427347421646118,1.0,-9.693644642538857e-07,8.057068745757272,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.903832197189331, 0.8500314354896545]"
5,1.0512816905975342,1.0,-1.1638009027592489e-06,8.056057747471494,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9009624123573303, 0.850001335144043]"
6,1.0598286390304565,1.0,-1.358237341264612e-06,8.055055691178511,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8981648087501526, 0.8500571846961975]"
7,1.068375587463379,1.0,-1.5526737797699752e-06,8.054062580215913,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8954401016235352, 0.8501989841461182]"
8,1.0769225358963013,1.0,-1.7471102182753384e-06,8.05307841789313,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.892788827419281, 0.8503136038780212]"
9,1.0854694843292236,1.0,-1.9415467704675393e-06,8.052103207491385,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9063277840614319, 0.8501245379447937]"
10,1.094016432762146,1.0,-2.133165253326297e-06,8.051136952263638,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9033972024917603, 0.8500214219093323]"
11,1.1025633811950684,1.0,-2.3276018055184977e-06,8.050179655434532,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9005382657051086, 0.8500041961669922]"
12,1.1111103296279907,1.0,-2.5220383577106986e-06,8.049231320200336,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8977515697479248, 0.850072979927063]"
13,1.119657278060913,1.0,-2.7164749099028995e-06,8.048291949728906,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8950377702713013, 0.8502276539802551]"
14,1.1282042264938354,1.0,-2.9109114620951004e-06,8.047361547159616,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8923976421356201, 0.8502797484397888]"
15,1.1367511749267578,1.0,-3.1053480142873013e-06,8.046440115603318,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9058837890625, 0.8501036167144775]"
16,1.1452981233596802,1.0,-3.2997845664795022e-06,8.045527658142285,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9029639363288879, 0.8500133752822876]"
17,1.1538450717926025,1.0,-3.494221118671703e-06,8.044624177830165,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9001157879829407, 0.8500090837478638]"
18,1.162392020225525,1.0,-3.688657670863904e-06,8.043729677691926,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.897339940071106, 0.8500906825065613]"
19,1.1709389686584473,1.0,-3.8830939956824295e-06,8.042844160723812,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8946371674537659, 0.8502582311630249]"
20,1.1794859170913696,1.0,-4.077530320500955e-06,8.041967629893284,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8920081257820129, 0.850247859954834]"
21,1.188032865524292,1.0,-4.2719666453194804e-06,8.041100088138979,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.905441403388977, 0.8500846028327942]"
22,1.1965798139572144,1.0,-4.466402970138006e-06,8.040241538370662,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9025322198867798, 0.8500072360038757]"
23,1.2051267623901367,1.0,-4.660839294956531e-06,8.039391983469171,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8996948599815369, 0.8500158190727234]"
