steps,x,y,roll,distance_to_obj,lidar,,,
0,1.00421608872019,0.99954684758677,0.027134726084967,1.33494134657077E-07,-0.01068056768482,3.0885849358148E-06,8.00045426331298,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455111 0.85      ]"
1,1.00807036282407,0.999546827193064,0.026667756993734,1.83881610651499E-07,-0.024044048727893,7.03230554457107E-06,8.00045724324758,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455195 0.84999984]"
2,1.01297746773667,0.999546894907471,0.027271908755675,9.43882418018182E-08,-0.028490836915386,0.000140097931492,8.00046363040627,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90455321 0.8499998 ]"
3,1.0184731106963,0.999548309483345,0.027222560894164,1.35251513531138E-06,-0.02796506084889,0.00034129352957,8.00047301777274,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90459666 0.84999948]"
4,1.02455873866466,0.999552098813554,0.02649361799963,4.34027597105036E-06,-0.022264135838247,0.000607912309806,8.00048559471507,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90466372 0.85000027]"
5,1.03250909731682,0.999557491869618,0.026778032981091,6.79466685023268E-06,-0.022312535145121,0.000876408576999,8.00050855679237,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90475485 0.85000339]"
6,1.04098537527264,0.999564949274228,0.026391676556626,1.01055118154977E-05,-0.023384823132835,0.000899638551387,8.00054003188958,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90484828 0.85000809]"
7,1.04945442954332,0.999572354701254,0.027011199938306,1.87900616907571E-05,-0.024708097809534,0.000909631660534,8.00058049445551,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90486357 0.85001527]"
8,1.05798905970704,0.999579855023252,0.026948247980456,3.0043548598375E-05,-0.024222246260398,0.000915849866937,8.00063030186969,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90487413 0.85002211]"
9,1.06662983179313,0.999587499093704,0.026205928986796,4.2998378140813E-05,-0.018554064858055,0.000922856851451,8.00068995269424,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90488352 0.850029  ]"
10,1.07531273466171,0.999595181805922,0.026476451232508,5.62905848351081E-05,-0.0127473527264,0.000929262175131,8.00075929290372,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90489353 0.85003621]"
11,1.08399867796849,0.999602908731206,0.02600629813373,7.08371368966124E-05,-0.006266468635264,0.000928071119081,8.00083804334787,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90490337 0.85004344]"
12,1.09268863557029,0.999610642135297,0.026513064715985,8.33219136404511E-05,0.000120692909652,0.000938665839389,8.00092626266476,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90491072 0.8500507 ]"
13,1.10115105986536,0.999618272666554,0.026284297838601,9.73561834225622E-05,-0.001832846339266,0.000945824605621,8.00102114232695,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90492206 0.85005806]"
14,1.10957898179328,0.999625820694699,0.027048048835766,0.000111274085611,-0.004193913186736,0.00095868279651,8.00112458109145,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90493161 0.85006481]"
15,1.11803955961197,0.999633509869711,0.027137559969586,0.000127898893989,-0.006436409252967,0.000963789300807,8.00123723645494,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90494292 0.85007146]"
16,1.12650216521999,0.999641277322559,0.026586746477412,0.000145444125751,-0.007911417956285,0.000960614223736,8.00135879018847,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90495167 0.85007811]"
17,1.13497173318698,0.999648996735458,0.027060081224076,0.000160098777807,-0.009495851947037,0.000970944804466,8.00148945785692,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90495778 0.85008484]"
18,1.14345864420555,0.999656854531632,0.026863976994534,0.000176984372567,-0.010667225133809,0.000972232493998,8.00162926083432,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90496844 0.85009165]"
19,1.15190157836119,0.99966456305962,0.02765015709637,0.000191657877093,-0.012310393352408,0.000987023397174,8.0017773771252,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90497617 0.85009852]"
20,1.16037884436723,0.999672476154191,0.02775388134793,0.000209497802846,-0.013890398900969,0.000992705661202,8.00193488242221,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90498827 0.85010531]"
21,1.16886151500895,0.999685320080895,0.027187602957969,5.54213648187621E-05,-0.014771156610651,0.000992096029351,8.00209654959125,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90499741 0.85011215]"
22,1.17734192152236,0.999692926633804,0.027666507948147,8.50962574573863E-05,-0.015808985034618,0.001003127805367,8.002272391345,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90501986 0.85013343]"
23,1.18584515065296,0.999700657819884,0.027472087357949,0.000116094497974,-0.016491224822671,0.001004586725113,8.00245762153782,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90502977 0.85013933]"
24,1.19429664638887,0.999708331408769,0.028254776784178,0.000143506053421,-0.017682729625269,0.00101997456594,8.00265068395018,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90503662 0.85014531]"
25,1.20278473179141,0.999719933308591,0.027928797321656,3.90032075801101E-05,-0.018891380892317,0.001028045156173,8.00284966702159,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90504815 0.85015139]"
26,1.21128104885061,0.999728325614826,0.027237292907041,5.28094850003927E-05,-0.019329049221209,0.001024653109998,8.00306107346265,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9050692  0.85016867]"
27,1.21977112096797,0.999735993171331,0.02774780255828,9.05751329721881E-05,-0.019967832597196,0.001036745920579,8.00328204704606,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90507618 0.85017628]"
28,1.22828386406425,0.999743804813926,0.027578617563477,0.0001294134607,-0.020277184931478,0.001038217009908,8.00351252333657,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90508604 0.85018181]"
29,1.23677044642137,0.999923594431531,0.027505821533362,-0.006054692213411,-0.020236511957947,0.001129234958721,8.00357937045869,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90509254 0.85018746]"
30,1.24529512409637,0.999875510122112,0.02746625714807,-0.004044049765823,-0.020124026788745,0.001090404280466,8.00388415404979,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90569375 0.850724  ]"
31,1.25382773722015,0.999852208540063,0.026886635008308,-0.002986642299911,-0.019306809094165,0.001074421058109,8.00417348671202,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9055025  0.85055638]"
32,1.26235302202273,0.999854481756916,0.027420726347374,-0.002708637806328,-0.018677361959132,0.00106096494103,8.00444610333716,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90540701 0.85047164]"
33,1.27090171909975,0.999855477913288,0.027260169256575,-0.002453941913396,-0.017714106411263,0.001056972035976,8.00472985900744,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90538801 0.85045795]"
34,1.27939877747557,0.999859502037075,0.02806624155993,-0.002220406767854,-0.017264816716104,0.00104285230596,8.00501790528924,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90537227 0.8504444 ]"
35,1.28793267494495,0.999809243774546,0.027897389159691,-0.000116743846904,-0.016815190368871,0.001006542782801,8.00537053241736,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90535774 0.85043511]"
36,1.29647402654523,0.999813366632245,0.027202565434596,4.36715796361215E-05,-0.015629282145036,0.001012460279176,8.00567817346738,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90516652 0.85026673]"
37,1.305011433883,0.999821089010428,0.027678028617942,7.7639864494209E-05,-0.014595825873344,0.001024121522348,8.0059911680342,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90516349 0.85026205]"
38,1.31357111553689,0.999828938415646,0.027459543295834,0.000112809542896,-0.01319784503781,0.001025410965575,8.00631399953254,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90517361 0.85026794]"
39,1.32208359872502,0.999836752189323,0.028211750713847,0.000143958992806,-0.012275928491491,0.001040874702905,8.00664410575294,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90518042 0.85027393]"
40,1.33063305228694,0.99984849034397,0.027871777758081,4.33052482802015E-05,-0.011340252017886,0.001048033730832,8.0069808537748,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90519204 0.85028006]"
41,1.3391866380648,0.999857076741174,0.027131356695331,5.82962708979146E-05,-0.009571949455851,0.001043472964286,8.00733003990781,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90521286 0.85029739]"
42,1.34774551419786,0.999864897836376,0.027559015836884,9.89709905836012E-05,-0.007907420781928,0.001054689125204,8.00768934184608,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90521974 0.85030526]"
43,1.35632165588279,0.999872861001371,0.027287478441048,0.000140290810608,-0.005819078920426,0.00105519158176,8.00805840154737,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90522947 0.85031092]"
44,1.36486108144122,0.999880795896638,0.027991911838579,0.000176749802961,-0.004153997017115,0.001070943294899,8.00843498372896,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90523582 0.85031673]"
45,1.37343257141931,0.999893478571298,0.027784863103349,5.21469623868032E-05,-0.002391476419396,0.001076635872142,8.00881740580985,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90524741 0.85032274]"
46,1.38200527297475,0.999902270089853,0.027023181222024,6.92695334058769E-05,0.00021436284363,0.001070791413134,8.0092129274164,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90527021 0.85034239]"
47,1.39059381077715,0.999910175701295,0.027374944965399,0.000116450146146,0.002802936688632,0.001081362167022,8.009619261979,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90527681 0.85035039]"
48,1.3991954914198,0.999918233743834,0.027020240312767,0.00016368162963,0.005895966148149,0.001080897918512,8.01003528750993,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9052861  0.85035585]"
49,1.40777311605655,0.999926279349697,0.02764742502125,0.000205254071337,0.008662190777331,0.001096024814025,8.0104593157957,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90529194 0.85036149]"
50,1.41627261443242,0.999934477309153,0.027559218009876,0.000247169281251,0.007824414247385,0.001101599659221,8.01088829387061,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90530323 0.85036741]"
51,1.42460681529636,0.999942713661441,0.026849295231688,0.000287841813368,0.002158253523213,0.001097841516408,8.01131746545441,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90531128 0.85037325]"
52,1.43296579045924,0.99995085426298,0.027199512770358,0.000323485231575,-0.00351854892686,0.001106370591272,8.01175671809346,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90531608 0.85037891]"
53,1.44133995737288,0.99995924039548,0.026931654340342,0.000360088260824,-0.008699532344189,0.001104062085032,8.01220525905993,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.9053251  0.85038474]"
54,1.44967501039901,0.999967373745675,0.02767309809036,0.000391371237408,-0.014313672425338,0.001119343159965,8.01266058410757,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90533078 0.8503908 ]"
55,1.45804347461353,0.999975849306349,0.027777125567079,0.000425228097322,-0.019847407661974,0.001123309566156,8.01312612132854,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90534224 0.85039686]"
56,1.46641813954017,0.999992486478909,0.027236270537596,0.000174763661835,-0.02469025960629,0.001122739210328,8.01359258368468,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90535019 0.85040313]"
57,1.47478464300783,1.00000042688681,0.027771265108837,0.000226408240067,-0.02975050485402,0.00113533042967,8.01407596838508,"[1.         1.         1.         1.         1.         1.
 1.         1.         0.90538201 0.85043323]"
