steps,x,y,roll,distance_to_obj,lidar
0,2.0002236366271973,1.0078697204589844,-1.51398766040802,3.8007426707397785,"[0.5385394096374512, 0.5847023129463196, 0.7374269366264343, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,2.0008838176727295,1.0157151222229004,-1.4596995115280151,3.793796692451777,"[0.5416381359100342, 0.5975666046142578, 0.7763097286224365, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,2.0019586086273193,1.0235145092010498,-1.408024787902832,3.787061001590195,"[0.5467486381530762, 0.6179879903793335, 0.8267405033111572, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,2.003420829772949,1.0312507152557373,-1.3599696159362793,3.7805417325839716,"[0.5538021326065063, 0.6409047842025757, 0.8797063827514648, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,2.0052378177642822,1.0389115810394287,-1.315866231918335,3.7742381922569175,"[0.5595394968986511, 0.6588873863220215, 0.9347833395004272, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,2.0073766708374023,1.0464890003204346,-1.275517463684082,3.7681457844266855,"[0.5696054100990295, 0.6855332851409912, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,2.009801149368286,1.0539801120758057,-1.240025520324707,3.7622536568661706,"[0.5772504806518555, 0.7060257196426392, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,2.0124850273132324,1.0613822937011719,-1.2058743238449097,3.7565546299659376,"[0.5856038928031921, 0.7274417877197266, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,2.0154149532318115,1.068690538406372,-1.173141598701477,3.7510488002291473,"[0.5946364402770996, 0.7582073211669922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,2.018575668334961,1.075901985168457,-1.1423051357269287,3.7457334763210643,"[0.609319269657135, 0.7727596759796143, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,2.0219523906707764,1.083014965057373,-1.1128617525100708,3.7406050056762687,"[0.6253789663314819, 0.8054748773574829, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,2.025528907775879,1.0900297164916992,-1.085742473602295,3.7356573428072264,"[0.6367810964584351, 0.8300996422767639, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,2.0292882919311523,1.0969481468200684,-1.0603398084640503,3.7308825491120823,"[0.6487078666687012, 0.864711344242096, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
