steps,x,y,roll,distance_to_obj,lidar
0,2.0,1.0,-0.026310594752430916,3.8078865529319543,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9656604528427124, 0.4376785457134247]"
1,2.0,1.0,-0.05262118950486183,3.8078865529319543,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9750000834465027, 0.45069369673728943]"
2,2.0,1.0,-0.0789317861199379,3.8078865529319543,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.990028440952301, 0.4640178680419922]"
3,2.0,1.0,-0.10524237900972366,3.8078865529319543,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.47762423753738403]"
4,2.0,1.0,-0.13155297935009003,3.8078865529319543,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.503891110420227]"
5,2.004310369491577,1.000570297241211,-0.13155297935009003,3.8090626054595575,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5055370330810547]"
6,2.0086207389831543,1.0011405944824219,-0.13155297935009003,3.81024325649543,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5427151918411255]"
7,2.0129311084747314,1.0017108917236328,-0.13155297935009003,3.811428501766187,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9102747440338135]"
8,2.0172414779663086,1.0022811889648438,-0.13155297935009003,3.8126183369871387,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9102602005004883]"
9,2.0215518474578857,1.0028514862060547,-0.13155297935009003,3.813812757862361,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9102663993835449]"
10,2.025862216949463,1.0034217834472656,-0.13155297935009003,3.8150117600847615,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9119107723236084]"
11,2.03017258644104,1.0039920806884766,-0.13155297935009003,3.816215339336153,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9118993878364563]"
12,2.034482955932617,1.0045623779296875,-0.13155297935009003,3.817423491287319,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9119086861610413]"
13,2.0387933254241943,1.0051326751708984,-0.13155297935009003,3.8186362115980845,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9135472774505615]"
14,2.0431036949157715,1.0057029724121094,-0.13155297935009003,3.819853495917386,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9135389924049377]"
15,2.0474140644073486,1.0062732696533203,-0.13155297935009003,3.8210753398833384,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.913551390171051]"
16,2.051724433898926,1.0068435668945312,-0.13155297935009003,3.822301739123308,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9151842594146729]"
17,2.056034803390503,1.0074138641357422,-0.13155297935009003,3.823532689253977,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9151790738105774]"
18,2.06034517288208,1.0079841613769531,-0.13155297935009003,3.8247681858814175,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9151946306228638]"
19,2.0646555423736572,1.008554458618164,-0.13155297935009003,3.826008224601158,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9168217778205872]"
20,2.0689659118652344,1.009124755859375,-0.13155297935009003,3.827252800998253,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9168196320533752]"
21,2.0732762813568115,1.009695053100586,-0.13155297935009003,3.8285019106473537,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9168382287025452]"
22,2.0775866508483887,1.0102653503417969,-0.13155297935009003,3.8297555491127757,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9184597134590149]"
