steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
0,2.000454174929533,1.0014729351158589,0.02711832716779911,-9.739104608938852e-11,0.0007410426053257524,1.5699987688357897,3.806711750945993,"[0.52119527 0.56043859 0.68512349 1.         0.99939597 1.
 1.         0.99631575 0.99847874 0.99350063]"
1,2.000466539066079,1.0013651305164608,0.027167980922060093,-3.135443845438528e-05,0.0013559908839498246,1.5606612090538068,3.8068157014522046,"[0.52748506 0.55356215 0.67998753 1.         1.         1.
 1.         1.         0.99303971 0.99685676]"
2,2.000401486925969,1.0013014309082824,0.026851318258567243,-0.0021890789706264504,0.0021828891638546563,1.5455004540285777,3.806848604729914,"[0.52355394 0.55995603 0.69058394 1.         1.         0.99724286
 0.99628936 1.         0.99967344 1.        ]"
3,2.000521476350795,1.0019385007847572,0.02713948582931152,-0.0013923432284801752,0.0015448974976335446,1.5235884629079695,3.8063104121027704,"[0.52342685 0.56430465 0.69638079 1.         1.         0.99467836
 0.99103623 1.         1.         1.        ]"
4,2.000577970295771,1.0029176732762493,0.027052294242248993,-0.00267571056424318,0.00033805106350670236,1.4992035608660164,3.805432832782702,"[0.52741223 0.56373443 0.71062033 0.9953888  0.99061943 1.
 0.99976385 1.         1.         1.        ]"
5,2.0007707021654215,1.0044407260793935,0.027353705750520856,0.000323383124740449,-0.0028000807389080107,1.4709101613798625,3.8041092699829813,"[0.52652776 0.57364761 0.72722111 0.99594653 1.         0.9909046
 0.99717685 1.         0.99104766 1.        ]"
6,2.001096387350574,1.0066141598281713,0.027478346811169792,-0.00018375573899213871,-0.007306706464861374,1.441668119845839,3.8022407856986096,"[0.5230009  0.58837137 0.74736681 1.         1.         0.99795559
 0.99112912 0.9957229  1.         0.99563812]"
7,2.0014188254784293,1.0089641401449156,0.02726380320192096,-0.0025133471501733316,-0.011750241660886139,1.4102165925469088,3.80020918691263,"[0.52774162 0.59299627 0.77250356 1.         1.         1.
 0.99305246 1.         0.99780286 0.99554505]"
8,2.002035376724883,1.0124029831491321,0.027499495254286133,-0.0007105908607770988,-0.019655886266808812,1.3766715026098693,3.797294197830889,"[0.5275226  0.6012755  0.80188813 0.99553897 0.99886048 0.9978164
 1.         1.         0.99962901 0.99894441]"
9,2.0027152648891646,1.0159638890075948,0.027424427486045427,-0.0009325455895396416,-0.027881584406491192,1.3434562225034377,3.7942931871469807,"[0.53888962 0.62001431 0.83730323 1.         1.         0.997787
 1.         1.         1.         1.        ]"
10,2.003365699070654,1.0193074535695843,0.027069881112901355,-0.003654008249095801,-0.025202656118228087,1.3104258818708194,3.791481112694411,"[0.53670527 0.63148264 0.8733363  0.99269889 1.         0.99979029
 0.999919   0.99570351 1.         0.99656286]"
11,2.0043748036881426,1.0230587536602735,0.02720934619122207,-0.0025949963477692626,-0.024188050470527054,1.2771007718834608,3.7884381980534125,"[0.54599358 0.64044939 0.92108521 1.         1.         1.
 0.99752161 0.99454074 1.         0.99092297]"
12,2.005479014727599,1.0270263382064246,0.027058206774233318,-0.00427985686891095,-0.02400863099593713,1.2451326313024251,3.7852362038975924,"[0.54788663 0.65337054 0.96979014 1.         0.99543855 0.99463517
 1.         1.         1.         0.99657969]"
13,2.0069176962657633,1.0311883106710307,0.027393392383442076,-0.002323833986435657,-0.025212588415939846,1.2162845543528598,3.781990941203352,"[0.56350075 0.67853334 1.         1.         0.99966558 0.99568957
 1.         0.99150236 1.         1.        ]"
14,2.0085317174054085,1.0355248987794572,0.027416064798347378,-0.0029394875933673936,-0.027141089426723494,1.1889931348525238,3.778657919075925,"[0.56306397 0.69995451 0.99449123 1.         1.         0.99123658
 1.         0.99170654 1.         0.99534812]"
15,2.010373870278364,1.040134988154204,0.02712330731478813,-0.005759090463895612,-0.029712725826858563,1.1644751240151707,3.7751682251542586,"[0.57247883 0.71366265 0.99536655 1.         0.99612967 0.99669015
 1.         1.         1.         0.9958042 ]"
16,2.012505081270423,1.0448378714719195,0.02720986217472469,-0.003888660581938332,-0.030017586869568718,1.1409758957810772,3.7717127349897077,"[0.5864641  0.73418676 0.9922156  1.         1.         0.9993351
 0.99213109 1.         0.99252521 0.99472661]"
17,2.014651945305369,1.0495825085593018,0.027154847145814096,-0.005816299223579121,-0.029304398549947902,1.1173514306968857,3.7682292102069983,"[0.58871342 0.75695882 1.         0.99516703 0.99942966 1.
 0.99297448 1.         1.         1.        ]"
18,2.0171114738066205,1.0544178327424174,0.027428402604106658,-0.0030653209752165263,-0.029173020659314115,1.095643192081387,3.764792649705845,"[0.59772251 0.77454921 1.         0.99801298 1.         0.99588851
 0.99120304 0.99486736 1.         1.        ]"
19,2.0196002529954296,1.059292546167522,0.027503884959053763,-0.003837540093448246,-0.02933871041386445,1.074043610520963,3.761336559224945,"[0.60529283 0.79253725 0.99034931 0.99409792 1.         1.
 1.         1.         0.99398466 0.99646091]"
20,2.022338567944367,1.064345350272564,0.027109105000164474,-0.006026250164833263,-0.026263885068863558,1.0540413397232506,3.7578235173627643,"[0.6129669  0.81730984 0.99415043 1.         1.         0.99656106
 0.99860988 1.         1.         1.        ]"
21,2.025198959556623,1.0693522401652615,0.027342434287401032,-0.005436945785241968,-0.023392065288213665,1.0339497677066125,3.754407532260146,"[0.62467849 0.84119167 0.99558477 0.99972497 0.99875082 0.9956752
 0.99843099 1.         1.         1.        ]"
22,2.0282743202500155,1.0744363875317777,0.02701588758499741,-0.0058789562149664815,-0.020562817562207465,1.015239654760255,3.75101432428643,"[0.63346384 0.86853058 0.9950652  0.99940387 0.99672111 1.
 1.         1.         0.99980444 0.99542157]"
23,2.0315203675689166,1.0795900024553495,0.02739973405314437,-0.004363629486112082,-0.01839288846997409,0.9977223840590187,3.7476338118313834,"[0.65297103 0.89613241 0.99177502 1.         1.         1.
 1.         0.99934083 1.         0.99044495]"
24,2.034987272631245,1.0847850752748014,0.027054202393373264,-0.0027582310017014045,-0.016129178665259772,0.9812253944796893,3.744312875442656,"[0.65750154 0.91650801 0.99379217 1.         0.99679933 1.
 1.         1.         0.99227516 1.        ]"
25,2.0386660349357233,1.0901008284215616,0.027399216570905213,0.0007291975036978391,-0.014524938450014659,0.9666580892511211,3.7409765472929846,"[0.66978829 0.95378337 1.         1.         1.         1.
 1.         0.99996494 1.         0.99140816]"
