steps,x,y,roll,distance_to_obj,laser
0,2.0042500495910645,1.0,0.0,3.809562732347995,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9597164988517761, 0.4250214397907257]"
1,2.008500099182129,1.0,0.0,3.81124291396291,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.958249032497406, 0.43751829862594604]"
2,2.0127501487731934,1.0,0.0,3.8129270924859444,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9567981958389282, 0.4375000596046448]"
3,2.017000198364258,1.0,0.0,3.8146152626231125,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9596295952796936, 0.43752315640449524]"
4,2.0212502479553223,1.0,0.0,3.816307419077259,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9581630825996399, 0.45001542568206787]"
5,2.0255002975463867,1.0,0.0,3.8180035565481227,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9567131996154785, 0.4500000774860382]"
6,2.029750347137451,1.0,0.0,3.8197036697323985,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9595428705215454, 0.45002487301826477]"
7,2.0340003967285156,1.0,0.0,3.8214077533237987,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9580773115158081, 0.4625133275985718]"
8,2.03825044631958,1.0,0.0,3.8231158020131155,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9566284418106079, 0.4625006914138794]"
9,2.0425004959106445,1.0,0.0,3.824827810488282,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9594561457633972, 0.4625271260738373]"
10,2.046750545501709,1.0,0.0,3.826543773434434,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9579916000366211, 0.47501102089881897]"
11,2.0510005950927734,1.0,0.0,3.8282636855339702,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9565436244010925, 0.47500094771385193]"
12,2.055250644683838,1.0,0.0,3.829987541466616,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9593694806098938, 0.4750289022922516]"
13,2.0595006942749023,1.0,0.0,3.83171533590948,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9579059481620789, 0.5000090003013611]"
14,2.063750743865967,1.0,0.0,3.8334470635371196,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9564589858055115, 0.5000015497207642]"
15,2.0680007934570312,1.0,0.0,3.8351827190215957,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9592829346656799, 0.5000302195549011]"
16,2.0722508430480957,1.0,0.0,3.836922297032538,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9578202962875366, 0.5375069379806519]"
17,2.07650089263916,1.0,0.0,3.8386657922372023,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9563743472099304, 0.5375019907951355]"
18,2.0807509422302246,1.0,0.0,3.8404131993005315,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9591962695121765, 0.5375306606292725]"
19,2.085000991821289,1.0,0.0,3.8421645128852133,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9577346444129944, 0.6000051498413086]"
