steps,x,y,roll,distance_to_obj,laser
1,1.004273533821106,1.0000009536743164,-0.0006429295754060149,8.061727850570307,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999757766723633, 0.8500120639801025]"
2,1.008547067642212,1.000004768371582,-0.0012894829269498587,8.061197344263338,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985841870307922, 0.8500481247901917]"
3,1.0128206014633179,1.0000114440917969,-0.001939541893079877,8.06066622926154,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8972135186195374, 0.8501085042953491]"
4,1.0170941352844238,1.000020980834961,-0.002592987846583128,8.060134505451698,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8958638310432434, 0.850193202495575]"
5,1.0213676691055298,1.0000333786010742,-0.0032497055362910032,8.059602172723471,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8945352435112, 0.8503022789955139]"
6,1.0256412029266357,1.0000486373901367,-0.0039095766842365265,8.059069230969397,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8932279348373413, 0.8503980040550232]"
7,1.0299146175384521,1.0000667572021484,-0.0045725810341537,8.058535694435294,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9083330035209656, 0.8503044247627258]"
8,1.0341880321502686,1.0000877380371094,-0.005196765996515751,8.058001548544526,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.906855583190918, 0.8502351641654968]"
9,1.038461446762085,1.0001115798950195,-0.0058249495923519135,8.057466793198259,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9053986072540283, 0.850190281867981]"
10,1.0427348613739014,1.000138282775879,-0.006457015872001648,8.056931428300535,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9039621949195862, 0.8501697182655334]"
11,1.0470082759857178,1.000166893005371,-0.007092851214110851,8.056396400736936,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9025455117225647, 0.8501725196838379]"
12,1.0512816905975342,1.0001983642578125,-0.007732342928647995,8.055860763557105,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.901149570941925, 0.8501997590065002]"
13,1.0555551052093506,1.0002326965332031,-0.008375373668968678,8.055324516672966,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8997744917869568, 0.8502512574195862]"
14,1.0598284006118774,1.000269889831543,-0.009021828882396221,8.054787673913687,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8984203338623047, 0.8503270745277405]"
15,1.0641016960144043,1.000309944152832,-0.009671589359641075,8.054250221157968,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8970872163772583, 0.8504272103309631]"
16,1.0683749914169312,1.0003528594970703,-0.010324539616703987,8.053712158326377,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8957752585411072, 0.8509411215782166]"
17,1.072648286819458,1.0003986358642578,-0.010979552753269672,8.053173485342366,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8944844603538513, 0.8508387804031372]"
18,1.0769214630126953,1.0004472732543945,-0.01163816824555397,8.052634215797317,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9097477197647095, 0.8507607579231262]"
19,1.0811946392059326,1.0004987716674805,-0.012257514521479607,8.052094335830734,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9082871675491333, 0.8507069945335388]"
20,1.08546781539917,1.0005521774291992,-0.012880775146186352,8.05155479287718,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9068462252616882, 0.8506766557693481]"
21,1.0897409915924072,1.0006084442138672,-0.013507843017578125,8.051014639483006,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9054258465766907, 0.8506706953048706]"
22,1.094014048576355,1.0006675720214844,-0.014138597995042801,8.050473889000925,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.904026210308075, 0.8506889939308167]"
23,1.0982871055603027,1.0007295608520508,-0.014772924594581127,8.049932527830594,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9026472568511963, 0.8507316708564758]"
24,1.1025601625442505,1.0007944107055664,-0.015410708263516426,8.049390555914895,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9012892246246338, 0.8507986664772034]"
25,1.1068331003189087,1.0008611679077148,-0.016051828861236572,8.048848934212435,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999512195587158, 0.8508889675140381]"
26,1.111106038093567,1.0009307861328125,-0.016696175560355186,8.04830670164548,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8986342549324036, 0.8518195748329163]"
27,1.115378975868225,1.0010032653808594,-0.017341522499918938,8.047763858164803,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8973384499549866, 0.8517075777053833]"
28,1.1196517944335938,1.0010786056518555,-0.017990510910749435,8.04722041676531,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9129432439804077, 0.8516198992729187]"
29,1.1239246129989624,1.0011568069458008,-0.0185993704944849,8.046676364237506,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9114789366722107, 0.8515565395355225]"
30,1.1281973123550415,1.0012378692626953,-0.019212180748581886,8.046131713457228,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9100348949432373, 0.8515174388885498]"
31,1.1324700117111206,1.0013208389282227,-0.019828828051686287,8.045587399459682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9086105823516846, 0.8515017032623291]"
32,1.1367425918579102,1.0014066696166992,-0.02044919691979885,8.045042486995605,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9072068333625793, 0.8515102863311768]"
33,1.1410151720046997,1.001495361328125,-0.021073175594210625,8.044496963115943,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9058237671852112, 0.851543128490448]"
34,1.1452877521514893,1.0015869140625,-0.021700646728277206,8.043950827790937,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9044614434242249, 0.8516003489494324]"
35,1.1495602130889893,1.0016813278198242,-0.022331491112709045,8.04340409359789,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9031200408935547, 0.8516817688941956]"
36,1.1538326740264893,1.0017776489257812,-0.02296559512615204,8.042857696165484,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.901798665523529, 0.8530282378196716]"
37,1.1581050157546997,1.0018768310546875,-0.02359963394701481,8.042310699675635,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9004984498023987, 0.8529067635536194]"
38,1.1623773574829102,1.001978874206543,-0.02423734962940216,8.04176309150523,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9164375066757202, 0.8528095483779907]"
39,1.166649580001831,1.0020837783813477,-0.024834096431732178,8.041214883992462,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9149698615074158, 0.8527365922927856]"
40,1.1709216833114624,1.0021915435791016,-0.0254348274320364,8.040666076936708,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9135226607322693, 0.8526878952980042]"
41,1.1751937866210938,1.0023012161254883,-0.026039427146315575,8.040117606553792,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9120948910713196, 0.8526625037193298]"
42,1.1794657707214355,1.0024137496948242,-0.02664778381586075,8.039568536463145,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9106876850128174, 0.8526614308357239]"
43,1.1837377548217773,1.0025291442871094,-0.027259783819317818,8.039018854367768,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9093010425567627, 0.8526846170425415]"
44,1.1880096197128296,1.0026473999023438,-0.02787530981004238,8.03846857230702,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9079351425170898, 0.8527320623397827]"
45,1.1922814846038818,1.002767562866211,-0.028494244441390038,8.037918626961742,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9065890908241272, 0.8528028726577759]"
46,1.1965532302856445,1.0028905868530273,-0.029116475954651833,8.037368081505807,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9052640199661255, 0.8545639514923096]"
47,1.2008248567581177,1.003016471862793,-0.029737580567598343,8.036816935757184,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9039599299430847, 0.8544331192970276]"
48,1.2050964832305908,1.0031452178955078,-0.03036239743232727,8.036265177745186,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.920225977897644, 0.8543264865875244]"
49,1.2093679904937744,1.0032758712768555,-0.030945423990488052,8.035713768257228,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9187548756599426, 0.8542431592941284]"
50,1.2136393785476685,1.0034093856811523,-0.031532470136880875,8.035161758171592,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9173040390014648, 0.8541840314865112]"
51,1.2179107666015625,1.0035457611083984,-0.032123420387506485,8.03460913571315,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9351648092269897, 0.8541491627693176]"
52,1.222182035446167,1.0036840438842773,-0.03266827389597893,8.034056861636813,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9335542321205139, 0.8541375398635864]"
53,1.226453185081482,1.0038251876831055,-0.03321732208132744,8.033503986679891,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9319631457328796, 0.8541501760482788]"
54,1.2307243347167969,1.0039682388305664,-0.033770449459552765,8.03295144855409,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9303907155990601, 0.8541861772537231]"
55,1.2349953651428223,1.0041141510009766,-0.03432755172252655,8.032398309445057,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9288380146026611, 0.8542463183403015]"
56,1.239266276359558,1.0042619705200195,-0.03488851338624954,8.031845518581408,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9273041486740112, 0.8543297648429871]"
