steps,x,y,roll,distance_to_obj,lidar
0,1.007873773574829,1.000046730041504,-0.011846113950014114,8.061238538257026,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.898842453956604, 0.850083589553833]"
1,1.0157464742660522,1.0001869201660156,-0.023809565231204033,8.060134261611442,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9135337471961975, 0.850877046585083]"
2,1.0236170291900635,1.0004186630249023,-0.035035181790590286,8.058946908409803,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9108997583389282, 0.8508281707763672]"
3,1.0314844846725464,1.0007390975952148,-0.04638863354921341,8.057679398447906,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9271252751350403, 0.8534940481185913]"
4,1.0393480062484741,1.001145362854004,-0.056841928511857986,8.056334635508309,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9450312852859497, 0.8533040285110474]"
5,1.047206997871399,1.0016307830810547,-0.0664510726928711,8.054919281722308,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9420816898345947, 0.8532659411430359]"
6,1.0550609827041626,1.0021915435791016,-0.07620257139205933,8.053437145219776,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9392592906951904, 0.8574640154838562]"
7,1.0629091262817383,1.002828598022461,-0.08588852733373642,8.051887340134202,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9365664124488831, 0.8572642803192139]"
8,1.0707507133483887,1.0035429000854492,-0.09571231156587601,8.05026896367546,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9340054392814636, 0.8572143912315369]"
9,1.0785847902297974,1.0043344497680664,-0.10566049814224243,8.048582085060797,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.952616810798645, 0.862919270992279]"
10,1.0864111185073853,1.0051994323730469,-0.11445003747940063,8.046830479170987,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9499591588973999, 0.8627103567123413]"
11,1.0942294597625732,1.0061330795288086,-0.12337616831064224,8.045018869696055,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9474250674247742, 0.8626424074172974]"
12,1.102039098739624,1.0071372985839844,-0.13242629170417786,8.04314540114001,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.945017397403717, 0.8698145747184753]"
13,1.1098394393920898,1.0082111358642578,-0.1412493884563446,8.041211045146486,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9883240461349487, 0.8695815205574036]"
14,1.117631196975708,1.0093460083007812,-0.14802005887031555,8.03922421130355,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9854724407196045, 0.8694812655448914]"
15,1.1254150867462158,1.0105342864990234,-0.15493138134479523,8.037192367842069,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9827262163162231, 0.8780659437179565]"
16,1.1331907510757446,1.011775016784668,-0.16156451404094696,8.035116468134499,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.980085551738739, 0.8777711391448975]"
17,1.1409578323364258,1.0130681991577148,-0.16833750903606415,8.032996516688522,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8776000142097473]"
18,1.148716688156128,1.0144100189208984,-0.17416976392269135,8.030836234349122,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9992448091506958, 0.8775488138198853]"
19,1.1564675569534302,1.0157976150512695,-0.18004043400287628,8.02863840923809,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996584415435791, 0.8871645927429199]"
20,1.164210319519043,1.0172290802001953,-0.18557968735694885,8.026404920510794,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9940214157104492, 0.8869073987007141]"
21,1.1719449758529663,1.0187034606933594,-0.19125331938266754,8.024136686981553,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8867637515068054]"
22,1.179671287536621,1.0202207565307617,-0.19664892554283142,8.021833703773366,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8976801037788391]"
23,1.1873897314071655,1.0217781066894531,-0.20152437686920166,8.019498739168318,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8973298072814941]"
24,1.1951005458831787,1.0233726501464844,-0.206416517496109,8.017134588471661,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.897086501121521]"
25,1.202803373336792,1.0250053405761719,-0.21132025122642517,8.014740312661527,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8969511985778809]"
26,1.2104980945587158,1.0266761779785156,-0.21623043715953827,8.012315896762352,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8969240188598633]"
27,1.2181845903396606,1.0283842086791992,-0.22114191949367523,8.009862274672239,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8970040678977966]"
28,1.2258626222610474,1.030130386352539,-0.22604958713054657,8.007378493499209,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9082223176956177]"
29,1.233532428741455,1.031911849975586,-0.230422705411911,8.0048673508279,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9080899953842163]"
30,1.2411943674087524,1.033726692199707,-0.23480214178562164,8.002330685657999,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9080601930618286]"
31,1.24884831905365,1.0355749130249023,-0.2391829937696457,7.9997684850142265,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9081330299377441]"
32,1.2564940452575684,1.0374574661254883,-0.24356037378311157,7.997179797184642,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9083094596862793]"
33,1.2641315460205078,1.0393733978271484,-0.24792934954166412,7.994565546718862,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9085883498191833]"
34,1.2717605829238892,1.0413227081298828,-0.25228503346443176,7.99192573068046,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9089698195457458]"
35,1.2793810367584229,1.043304443359375,-0.2566225528717041,7.989261284452276,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9333959817886353]"
36,1.2869939804077148,1.0453147888183594,-0.2597961723804474,7.986575886634192,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9331459403038025]"
37,1.294600486755371,1.0473499298095703,-0.26298171281814575,7.983873221199445,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9329879283905029]"
38,1.3022005558013916,1.0494089126586914,-0.2661747932434082,7.981154221191002,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9329209923744202]"
39,1.3097939491271973,1.051492691040039,-0.26937103271484375,7.978417940497436,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9470529556274414]"
40,1.3173813819885254,1.0535974502563477,-0.2718939185142517,7.975668101183017,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9467641115188599]"
41,1.3249634504318237,1.0557212829589844,-0.2744305729866028,7.972906538852927,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9465605616569519]"
42,1.3325400352478027,1.0578651428222656,-0.27697691321372986,7.970132300918511,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9464432001113892]"
43,1.3401111364364624,1.060028076171875,-0.2795288562774658,7.967346325059183,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9464111328125]"
44,1.3476767539978027,1.0622100830078125,-0.28208231925964355,7.964548598858424,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9610032439231873]"
45,1.3552374839782715,1.0644092559814453,-0.28394049406051636,7.961740962793227,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9607444405555725]"
46,1.3627941608428955,1.0666217803955078,-0.2858109772205353,7.958927142319551,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9605640769004822]"
47,1.3703466653823853,1.0688486099243164,-0.28769007325172424,7.956106189216841,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9604631066322327]"
48,1.3778949975967407,1.071089744567871,-0.2895739674568176,7.953278096025056,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9604416489601135]"
49,1.3854390382766724,1.0733451843261719,-0.2914588749408722,7.950442864552854,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9604995846748352]"
50,1.3929787874221802,1.0756149291992188,-0.2933410406112671,7.947600487118722,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9752054810523987]"
51,1.400515079498291,1.0778961181640625,-0.2945224642753601,7.944753745995465,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9750298261642456]"
52,1.4080486297607422,1.080185890197754,-0.29571226239204407,7.941905436263446,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9749267101287842]"
53,1.4155795574188232,1.0824851989746094,-0.296906977891922,7.939054595993336,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9748970866203308]"
54,1.423107624053955,1.0847930908203125,-0.29810312390327454,7.936202191763422,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9749401211738586]"
55,1.4306329488754272,1.0871105194091797,-0.2992972135543823,7.933347261462286,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9900364279747009]"
56,1.4381563663482666,1.0894336700439453,-0.2997719645500183,7.930493548910395,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9898397922515869]"
57,1.4456787109375,1.0917606353759766,-0.3002561032772064,7.927642899355198,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9897096753120422]"
58,1.453199863433838,1.0940914154052734,-0.30074644088745117,7.924795324632515,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9896461963653564]"
59,1.4607198238372803,1.096426010131836,-0.3012397885322571,7.92195082802984,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9896494150161743]"
60,1.4682387113571167,1.098764419555664,-0.30173298716545105,7.919109404837054,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9897191524505615]"
61,1.4757564067840576,1.1011066436767578,-0.3022228479385376,7.916271066581501,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9898555874824524]"
62,1.4832730293273926,1.1034517288208008,-0.30270621180534363,7.913436760427399,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
63,1.4907890558242798,1.1057987213134766,-0.30270621180534363,7.91060741119696,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
64,1.498305082321167,1.1081457138061523,-0.30270621180534363,7.907784889900646,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
65,1.5058211088180542,1.1104927062988281,-0.30270621180534363,7.9049692038523345,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
66,1.5133371353149414,1.112839698791504,-0.30270621180534363,7.9021603603586,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
67,1.5208531618118286,1.1151866912841797,-0.30270621180534363,7.899358366718644,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
68,1.5283691883087158,1.1175336837768555,-0.30270621180534363,7.896563230224213,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
69,1.535885214805603,1.1198806762695312,-0.30270621180534363,7.893774958159523,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
70,1.5434012413024902,1.122227668762207,-0.30270621180534363,7.890993557801187,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
71,1.5509172677993774,1.1245746612548828,-0.30270621180534363,7.888219036418133,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
