steps,x,y,roll,distance_to_obj,lidar
0,1.004347801208496,1.0,0.0,8.061719624308349,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999504446983337, 0.8500114679336548]"
1,1.0086956024169922,1.0,0.0,8.061183809383545,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985314965248108, 0.850044846534729]"
2,1.0130434036254883,1.0,0.0,8.060650303984609,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8971313834190369, 0.8501003980636597]"
3,1.0173912048339844,1.0,0.0,8.060119108570147,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8957501649856567, 0.8501782417297363]"
4,1.0217390060424805,1.0,0.0,8.059590223596901,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89438796043396, 0.8502783179283142]"
5,1.0260868072509766,1.0,0.0,8.05906364951975,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8930448293685913, 0.8503366708755493]"
6,1.0304346084594727,1.0,0.0,8.058539386791699,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8917208313941956, 0.8502255082130432]"
7,1.0347824096679688,1.0,0.0,8.058017435863885,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9065664410591125, 0.8501365780830383]"
8,1.0391302108764648,1.0,0.0,8.057497797185569,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9050639271736145, 0.8500698804855347]"
9,1.043478012084961,1.0,0.0,8.056980471204144,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9035797715187073, 0.8500254154205322]"
10,1.047825813293457,1.0,0.0,8.056465458365118,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9021140933036804, 0.8500031232833862]"
11,1.0521736145019531,1.0,0.0,8.055952759112127,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006670713424683, 0.8500031232833862]"
12,1.0565214157104492,1.0,0.0,8.055442373886924,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8992387652397156, 0.8500254154205322]"
13,1.0608692169189453,1.0,0.0,8.054934303129382,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8978291749954224, 0.8500698804855347]"
14,1.0652170181274414,1.0,0.0,8.054428547277489,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.896438479423523, 0.8501365780830383]"
15,1.0695648193359375,1.0,0.0,8.053925106767343,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8950667977333069, 0.8502255082130432]"
16,1.0739126205444336,1.0,0.0,8.053423982033163,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8937140703201294, 0.8503366708755493]"
17,1.0782604217529297,1.0,0.0,8.052925173507269,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8923805356025696, 0.8502783179283142]"
18,1.0826082229614258,1.0,0.0,8.052428681620098,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8910662531852722, 0.8501783013343811]"
19,1.0869560241699219,1.0,0.0,8.051934506800189,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9058129787445068, 0.8501004576683044]"
20,1.091303825378418,1.0,0.0,8.051442649474186,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9043196439743042, 0.850044846534729]"
21,1.095651626586914,1.0,0.0,8.050953110066839,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9028447270393372, 0.8500114679336548]"
22,1.0999994277954102,1.0,0.0,8.050465889000996,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9013883471488953, 0.8500003814697266]"
23,1.1043472290039062,1.0,0.0,8.049980986697607,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999506831169128, 0.8500114679336548]"
24,1.1086950302124023,1.0,0.0,8.04949840357572,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985316753387451, 0.850044846534729]"
25,1.1130428314208984,1.0,0.0,8.049018140052478,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8971315622329712, 0.8501003980636597]"
26,1.1173906326293945,1.0,0.0,8.048540196543119,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8957503437995911, 0.8501782417297363]"
27,1.1217384338378906,1.0,0.0,8.048064573460971,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8943881392478943, 0.8502783179283142]"
28,1.1260862350463867,1.0,0.0,8.047591271217456,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8930450081825256, 0.8503366708755493]"
29,1.1304340362548828,1.0,0.0,8.047120290222084,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8917210698127747, 0.8502255082130432]"
30,1.134781837463379,1.0,0.0,8.046651630882453,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9065666794776917, 0.8501365780830383]"
31,1.139129638671875,1.0,0.0,8.046185293604244,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9050641059875488, 0.8500698804855347]"
32,1.143477439880371,1.0,0.0,8.045721278791223,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9035799503326416, 0.8500254154205322]"
33,1.1478252410888672,1.0,0.0,8.04525958684524,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9021143317222595, 0.8500031232833862]"
34,1.1521730422973633,1.0,0.0,8.044800218166223,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006673097610474, 0.8500031232833862]"
35,1.1565208435058594,1.0,0.0,8.044343173152178,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8992389440536499, 0.8500253558158875]"
36,1.1608686447143555,1.0,0.0,8.043888452199193,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8978293538093567, 0.8500698804855347]"
37,1.1652164459228516,1.0,0.0,8.043436055701424,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.896438717842102, 0.8501365780830383]"
38,1.1695642471313477,1.0,0.0,8.042985984051105,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8950669169425964, 0.8502255082130432]"
39,1.1739120483398438,1.0,0.0,8.042538237638542,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8937142491340637, 0.8503366708755493]"
40,1.1782598495483398,1.0,0.0,8.042092816852112,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8923807144165039, 0.850278377532959]"
41,1.182607650756836,1.0,0.0,8.041649722078255,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8910663723945618, 0.8501783013343811]"
42,1.186955451965332,1.0,0.0,8.041208953701483,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9058131575584412, 0.8501004576683044]"
43,1.1913032531738281,1.0,0.0,8.040770512104373,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9043198227882385, 0.850044846534729]"
44,1.1956510543823242,1.0,0.0,8.040334397667566,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9028449058532715, 0.8500114679336548]"
45,1.1999988555908203,1.0,0.0,8.039900610769763,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9013885259628296, 0.8500003814697266]"
46,1.2043466567993164,1.0,0.0,8.039469151787724,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999508023262024, 0.8500114679336548]"
47,1.2086944580078125,1.0,0.0,8.039040021096271,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985318541526794, 0.850044846534729]"
48,1.2130422592163086,1.0,0.0,8.038613219068285,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8971317410469055, 0.8501003980636597]"
49,1.2173900604248047,1.0,0.0,8.038188746074695,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8957505226135254, 0.8501782417297363]"
50,1.2217378616333008,1.0,0.0,8.037766602484492,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8943883180618286, 0.8502783179283142]"
51,1.2260856628417969,1.0,0.0,8.037346788664715,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89304518699646, 0.8503367304801941]"
