steps,x,y,z,roll,pitch,yaw,distance_to_obj,lidar
0,1.0014732981570889,0.9995469982571202,0.02711812652340964,-1.2381230764366569e-10,0.00074110301349676,-1.2294756208779443e-06,8.000453137398164,"[0.99924953 0.99447622 1.         0.99848797 0.99200566 0.99593807
 1.         0.99171493 0.91166675 0.852216  ]"
1,1.002857376045267,0.9995468651504047,0.02717351514760123,4.772059299136763e-06,-0.0048290812984326985,-2.0070379787977576e-06,8.000453645108042,"[0.99331046 0.99443096 0.99508424 1.         1.         0.99188351
 1.         1.         0.90551916 0.85846514]"
2,1.0054438191413126,0.9994989992260027,0.026912950074574636,0.0019512748498397687,-0.013558463325925656,-0.0005982822057650288,8.000502852855725,"[0.99743739 0.99608338 1.         0.99561522 1.         0.99655177
 0.99272559 1.         0.90411484 0.85016298]"
3,1.0096254204433608,0.999549551169783,0.02712280055803237,-0.0002602857898484838,-0.02715900556064989,0.0001123156213144741,8.000456239047015,"[0.99305583 1.         0.99751367 0.99590361 1.         1.
 1.         0.9979439  0.89826768 0.84189624]"
4,1.0140361605637649,0.9995614047276224,0.02705381360760219,-0.00040924764646537326,-0.02649828200572528,0.00034722845926246816,8.00045090795058,"[0.99755283 1.         1.         1.         1.         0.99641061
 1.         1.         0.90132583 0.84279003]"
5,1.0192680292111262,0.9995077847592744,0.02658432325175636,0.0017436935293400615,-0.022799444891976547,-7.880270880990676e-05,8.000515417338882,"[0.99283394 1.         0.99520804 0.99750825 1.         1.
 1.         0.99497154 0.90447622 0.84184085]"
6,1.0258570743009838,0.9995707741962275,0.026601650243241643,-0.00026852257385259683,-0.0228090261877727,0.002328897019755071,8.000471010220995,"[0.9963348  0.99063241 0.99711686 1.         0.99673518 0.99969747
 1.         0.99026637 0.89856549 0.84199427]"
7,1.033000382441386,0.9995892496959627,0.026272425353016174,0.00019325166254116245,-0.02019679993315659,0.006836307902888239,8.000478810597631,"[0.99518498 0.99998827 1.         0.99383173 0.99512005 1.
 1.         1.         0.90532492 0.85737718]"
8,1.040445531984734,0.9997380602437838,0.026370338771149908,-0.003386796260842489,-0.0180974954109097,0.014755875227385544,8.000364175821588,"[0.99470509 1.         1.         0.99088749 0.99369142 1.
 0.99555119 0.99334325 0.90039143 0.84935031]"
9,1.0481413116109,0.9998978842491264,0.02613680729581097,-0.004496815395349417,-0.016119364699294633,0.022136455787013624,8.000246961708447,"[1.         1.         1.         0.99883618 0.99001757 0.99940416
 1.         0.9923792  0.90537957 0.85291115]"
10,1.0557403116047603,1.0000700286955275,0.0269485576783848,-0.004902632044061066,-0.014486641117500268,0.029962793078187912,8.000124157043649,"[1.         0.99761334 0.99874777 0.99078823 1.         0.99610024
 1.         1.         0.91548607 0.85534831]"
11,1.0633650379805166,1.0002578912344877,0.027300697655406544,-0.003092175505151236,-0.013007875006764752,0.03788525368873701,7.999993058421636,"[1.         1.         1.         1.         1.         0.99915748
 1.         0.99863388 0.90738643 0.85287128]"
12,1.0710331482511295,1.0004645154350902,0.02722270069841888,0.0008525222642922163,-0.01137881456548021,0.04533236415582669,7.999850853419932,"[0.99219123 1.         1.         0.99817597 1.         0.99327318
 1.         1.         0.9262524  0.84820184]"
13,1.0784850810573,1.0008197304533104,0.02760398638241304,0.0002756746071468771,-0.009128465555815897,0.05323660116146578,7.999565293980269,"[1.         0.99116873 0.99089899 1.         0.99136437 1.
 0.99491211 1.         0.91641767 0.84513668]"
14,1.0860265553617268,1.0011798244408427,0.02760153419812528,0.0019970135881127384,-0.00692500554096629,0.06062560106092864,7.999282765920931,"[1.         0.99347618 0.99896987 1.         1.         1.
 1.         0.99863252 0.92189803 0.8566591 ]"
15,1.093570676238582,1.0017206252600706,0.027937397244456704,-0.000776143197260672,-0.004872933519174061,0.0675088402763657,7.998826690699199,"[0.99016466 1.         0.99626056 0.99664775 0.99560193 0.99984254
 0.99895471 0.99233302 0.92940561 0.85720539]"
16,1.1012907769989164,1.0022442202122503,0.027765725638479462,-0.0003919302600852513,-0.0030902086081303574,0.07452602429146203,7.998397172848658,"[1.         1.         1.         0.99965918 0.99551205 0.99343377
 0.99332065 1.         0.93686789 0.84552747]"
17,1.1090702717509695,1.0027842815437884,0.027256381062862226,0.0017025537908818774,-0.0007717452169999856,0.0811152104125821,7.997959462994479,"[0.99277044 0.99642607 0.99151131 1.         0.99969474 1.
 0.99671514 1.         0.92676137 0.85825481]"
