steps,x,y,roll,distance_to_obj,laser
1,1.004273533821106,1.0,0.0,8.061728796942322,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8999748826026917, 0.8500111103057861]"
2,1.008547067642212,1.0,0.0,8.061202076432576,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8985796570777893, 0.8500433564186096]"
3,1.0128206014633179,1.0,0.0,8.060677587206627,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8972026705741882, 0.8500970602035522]"
4,1.0170941352844238,1.0,0.0,8.06015532970006,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8958439230918884, 0.850172221660614]"
5,1.0213676691055298,1.0,0.0,8.059635304346713,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8945035338401794, 0.8502689003944397]"
6,1.0256412029266357,1.0,0.0,8.059117511578687,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8931816220283508, 0.8503493070602417]"
7,1.0299147367477417,1.0,0.0,8.058601951826335,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8918781280517578, 0.8502376079559326]"
8,1.0341882705688477,1.0,0.0,8.058088625518263,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9067732095718384, 0.8501474261283875]"
9,1.0384618043899536,1.0,0.0,8.05757753308133,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9052937030792236, 0.8500787019729614]"
10,1.0427353382110596,1.0,0.0,8.05706867494065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.903831958770752, 0.8500313758850098]"
11,1.0470088720321655,1.0,0.0,8.056562051519581,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9023880958557129, 0.8500056266784668]"
12,1.0512824058532715,1.0,0.0,8.056057663239729,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9009621739387512, 0.850001335144043]"
13,1.0555559396743774,1.0,0.0,8.055555510520945,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8995543122291565, 0.8500185012817383]"
14,1.0598294734954834,1.0,0.0,8.055055593781322,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8981645703315735, 0.8500571846961975]"
15,1.0641030073165894,1.0,0.0,8.054557913437202,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.896793007850647, 0.8501173853874207]"
16,1.0683765411376953,1.0,0.0,8.054062469903158,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8954398036003113, 0.8501989841461182]"
17,1.0726500749588013,1.0,0.0,8.053569263592008,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8941049575805664, 0.8503021001815796]"
18,1.0769236087799072,1.0,0.0,8.053078294914803,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8927885293960571, 0.8503135442733765]"
19,1.0811971426010132,1.0,0.0,8.052589564280831,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.891490638256073, 0.8502083420753479]"
20,1.0854706764221191,1.0,0.0,8.052103072097612,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9063273668289185, 0.8501245379447937]"
21,1.089744210243225,1.0,0.0,8.051618818770901,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9048531651496887, 0.8500622510910034]"
22,1.094017744064331,1.0,0.0,8.05113680470468,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9033967852592468, 0.8500214219093323]"
23,1.098291277885437,1.0,0.0,8.05065703030116,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9019582867622375, 0.850002110004425]"
24,1.102564811706543,1.0,0.0,8.050179495960776,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9005377888679504, 0.8500041961669922]"
