steps,x,y,roll,distance_to_obj,laser
0,3.0081000328063965,4.0,0.0,1.4199527020799876,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,3.016200065612793,4.0,0.0,1.4257147587618797,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,3.0243000984191895,4.0,0.0,1.431499455683292,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,3.032400131225586,4.0,0.0,1.4373065194851817,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,3.0405001640319824,4.0,0.0,1.4431356801599018,"[1.0, 0.9994295239448547, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,3.048600196838379,4.0,2.2371466911863536e-05,1.4489866710254746,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,3.0567002296447754,4.0,2.2371466911863536e-05,1.454859228699231,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,3.064800262451172,4.0,2.2371466911863536e-05,1.4607530930708599,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,3.0729002952575684,4.0,2.2371466911863536e-05,1.4666680072749174,"[1.0, 0.983299732208252, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,3.081000328063965,3.999998092651367,0.0006772447959519923,1.472605012885432,"[1.0, 0.9804715514183044, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,3.0891003608703613,3.999988555908203,0.0014430201845243573,1.4785677138239264,"[1.0, 0.9846582412719727, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,3.097200393676758,3.9999752044677734,0.002044620690867305,1.484553230963344,"[1.0, 0.9818133115768433, 0.9954041242599487, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,3.1053004264831543,3.9999542236328125,0.0029380000196397305,1.4905638488886324,"[1.0, 0.9860507845878601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,3.113400459289551,3.999927520751953,0.0034849948715418577,1.4965979909432987,"[1.0, 0.9831911325454712, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,3.1215004920959473,3.999897003173828,0.004144126083701849,1.5026541045869943,"[1.0, 0.9803935885429382, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,3.1296005249023438,3.9998607635498047,0.004912958946079016,1.508733189847307,"[1.0, 0.9845994710922241, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
16,3.137700319290161,3.999818801879883,0.005516864359378815,1.5148347915155393,"[1.0, 0.9817854166030884, 0.9952008128166199, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,3.1458001136779785,3.9997711181640625,0.006419311743229628,1.5209588148806785,"[1.0, 0.9415373802185059, 0.9747552871704102, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,3.153899908065796,3.999706268310547,0.00970175489783287,1.5271124868494343,"[1.0, 0.9387537240982056, 0.9695544242858887, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,3.161999464035034,3.999612808227539,0.013297297060489655,1.5333027384962492,"[1.0, 0.9430409073829651, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20,3.1700985431671143,3.9994964599609375,0.015530850738286972,1.53952523017731,"[1.0, 0.9402774572372437, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
