steps,x,y,z,roll,pitch,yaw,distance_to_obj,laser
0,3.004215861379413,3.99954684763002,0.027134925524420532,1.334706888657213e-07,-0.010679799640359927,3.088388861085918e-06,1.417517550626103,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
1,3.0080698399585217,3.9995468321166454,0.02666801874021505,-1.33187004672082e-08,-0.024042544229828454,7.0936414898759746e-06,1.4202504509282294,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
2,3.012976628798751,3.9995469151134397,0.027272222243696652,-6.72089946765637e-07,-0.028490004338474303,0.00014032492091194118,1.4237373442989818,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
3,3.0184718617424724,3.999548371532756,0.02722292818301083,-9.843049671562265e-07,-0.0279648912572679,0.0003420014915692749,1.4276513559213042,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
4,3.0245569822396066,3.9995522342001784,0.026494040781413618,-5.571040837326498e-07,-0.022264617907526395,0.0006093985382441162,1.4319960691111495,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
5,3.0325066976081163,3.999557675001218,0.026778445914350486,-8.070205235301044e-07,-0.022313267443615132,0.0008787050397425201,1.4376908312480075,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
6,3.0409831072901414,3.9995651110151837,0.026392066128616373,-9.942180234407263e-07,-0.023388037938942022,0.0008628859797934717,1.4437852322147848,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
7,3.0494521845581786,3.999572578820054,0.027011534162542327,-5.292032896866139e-06,-0.02471354323353175,0.0008518747465743329,1.449898242195876,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
8,3.057987064442928,3.9995800608926024,0.026948516227640516,-1.215968845889296e-05,-0.024226899703434248,0.0008476040083488139,1.45608264981498,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
9,3.0666281965672355,3.9995875997528,0.026206051900380514,-1.998247310961096e-05,-0.018557331915554844,0.0008438846955705993,1.4623681753514186,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,3.07531129066672,3.999595187584635,0.02647636315056754,-2.839247836589611e-05,-0.012748409250823642,0.0008384004324404211,1.4687083306562772,"[1.         0.99460303 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
11,3.0839974620336066,3.9996027651688766,0.02600594616949854,-3.780960563437574e-05,-0.0062655498353551805,0.0008454137996488948,1.4750746168086069,"[1.         0.99460303 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
12,3.0926695808219793,3.999610135071439,0.026511547800895586,-3.8775375943536556e-05,0.00018902411211149021,0.0006987199441368368,1.4814542499535597,"[1.         0.99460303 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
13,3.1011133384020915,3.9996171040848516,0.0262879654227011,-8.958553481713726e-05,-0.0017308669090824185,0.0005607784366938738,1.4876883149526239,"[1.         0.99460303 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
14,3.1095210027466975,3.9996238584373307,0.027058891805495422,-0.0001537474961293395,-0.004067816294768476,0.00039786545194078185,1.4939174274851508,"[1.         0.96405773 0.9872296  1.         1.         1.
 1.         1.         1.         1.        ]"
15,3.1179616794357217,3.9996301889332937,0.02716179107706543,-0.0002666022668513379,-0.006299421824796191,0.00025270995852862995,1.5001926794849978,"[1.         0.96405773 0.9872296  1.         1.         1.
 1.         1.         1.         1.        ]"
16,3.126261911660763,3.9996340792818454,0.026639229128155643,-0.0004976141693077881,-0.007265170978694371,-0.0009674940514448547,1.506385697287397,"[1.         0.96405773 0.9872296  1.         1.         1.
 1.         1.         1.         1.        ]"
17,3.134558977063819,3.999636379377258,0.027159326904814395,-0.0008669327528290632,-0.008406592165934442,-0.0022791373134181682,1.512597582274129,"[1.         0.96405773 0.9872296  1.         1.         1.
 1.         1.         1.         1.        ]"
18,3.14287580638267,3.999635789824626,0.027063328442312507,-0.0016452546877944148,-0.009226793600399354,-0.0035380316942682606,1.5188461613391389,"[1.         0.95674686 0.98627135 1.         1.         1.
 1.         1.         1.         1.        ]"
19,3.151179350926997,3.9994673135691383,0.02712069269535262,0.003421277904666965,-0.009746504464318385,-0.004769926329664817,1.5252145929728247,"[1.         0.95674686 0.98627135 1.         1.         1.
 1.         1.         1.         1.        ]"
20,3.1595020155278504,3.999471817465741,0.02741011571432277,0.0017404713932281741,-0.010286422011843245,-0.006296355368537962,1.5315030421316356,"[1.         0.95674686 0.98627135 1.         1.         1.
 1.         1.         1.         1.        ]"
21,3.16783745865377,3.999472561909232,0.02709114240287947,-0.00033655149113967324,-0.010309856309669655,-0.007708291240246634,1.5378229690726342,"[1.         0.95674686 0.98627135 1.         1.         1.
 1.         1.         1.         1.        ]"
22,3.1761481825294156,3.999301158225077,0.026995190584089546,0.0035234319565137554,-0.00977119790623309,-0.009236735344429587,1.5442547455639952,"[1.         0.93436813 0.95188172 1.         1.         1.
 1.         1.         1.         1.        ]"
23,3.184504069812158,3.999300617473936,0.027109873265588738,0.0006319299653992526,-0.00916475876336803,-0.010746583531683916,1.5506286291661233,"[1.         0.93436813 0.95188172 1.         1.         1.
 1.         1.         1.         1.        ]"
