steps,x,y,roll,distance_to_obj,lidar
0,3.0042734146118164,4.0,0.0,1.4172385442458433,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,3.008546829223633,4.0,0.0,1.4202699415030382,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,3.012820243835449,4.0,0.0,1.4233077131537293,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,3.0170936584472656,4.0,0.0,1.426351818470339,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,3.021367073059082,4.0,0.0,1.4294022169876737,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,3.0256404876708984,4.0,0.0,1.432458868501919,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,3.029913902282715,4.0,0.0,1.4355217330696215,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,3.0341873168945312,4.0,0.0,1.4385907710066506,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,3.0384607315063477,4.0,0.0,1.4416659428871512,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,3.042734146118164,4.0,0.0,1.444747209542478,"[1.0, 0.9986729025840759, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,3.0470075607299805,4.0,0.0,1.447834532060119,"[1.0, 0.9972378015518188, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,3.051280975341797,4.0,0.0,1.450927871782605,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,3.0555543899536133,4.0,0.0,1.454027190306407,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,3.0598278045654297,4.0,0.0,1.4571324494808213,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,3.064101219177246,4.0,0.0,1.4602436114068438,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,3.0683746337890625,4.0,0.0,1.4633606384360327,"[1.0, 0.9849063754081726, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
16,3.072648048400879,4.0,0.0,1.466483493169362,"[1.0, 0.9833888411521912, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,3.0769214630126953,4.0,0.0,1.4696121384560636,"[1.0, 0.9818875193595886, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,3.0811948776245117,4.0,0.0,1.4727465373924609,"[1.0, 0.9804025292396545, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,3.085468292236328,4.0,0.0,1.475886653320793,"[1.0, 0.9789339303970337, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
