steps,x,y,roll,distance_to_obj,laser
0,3.0042500495910645,4.0,0.0,1.4172219875882732,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,3.008500099182129,4.0,0.0,1.4202367584492255,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,3.0127501487731934,4.0,0.0,1.423257834631563,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,3.017000198364258,4.0,0.0,1.4262851760685658,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,3.0212502479553223,4.0,0.0,1.4293187429502237,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,3.0255002975463867,4.0,0.0,1.4323584957222573,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,3.029750347137451,4.0,0.0,1.4354043950851276,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,3.0340003967285156,4.0,0.0,1.438456401993028,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,3.03825044631958,4.0,0.0,1.4415144776528632,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,3.0425004959106445,4.0,0.0,1.4445785835232154,"[1.0, 0.9987518191337585, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,3.046750545501709,4.0,0.0,1.4476486813132963,"[1.0, 0.9973236322402954, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,3.0510005950927734,4.0,0.0,1.4507247329818858,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,3.055250644683838,4.0,0.0,1.453806700736262,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,3.0595006942749023,4.0,0.0,1.4568945470311159,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,3.063750743865967,4.0,0.0,1.4599882345674562,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
